Order Number,Order Date,Item Name,Quantity,Product Price,Total products
1388,2015-01-10 20:12:00,Onion Chutney,1,0.5,6
1388,2015-01-10 20:12:00,Mint Sauce,1,0.5,6
1388,2015-01-10 20:12:00,Lime Pickle,1,0.5,6
1388,2015-01-10 20:12:00,Paratha,1,2.95,6
1387,2015-01-10 16:55:00,Onion Bhaji,1,3.95,1
1386,2015-01-10 16:28:00,Onion Bhaji,1,3.95,1
630,2015-01-09 14:42:00,Onion Bhaji,1,3.95,3
1385,2015-01-10 15:19:00,Tandoori Chicken (1/4),1,4.95,7
1385,2015-01-10 15:19:00,Vegetable Samosa,1,4.95,7
1382,2015-01-10 10:49:00,Vegetable Samosa,1,4.95,2
1382,2015-01-10 10:49:00,Tandoori Chicken (1/4),1,4.95,2
1376,2015-01-10 10:02:00,Vegetable Samosa,1,4.95,3
1375,2015-01-10 09:54:00,Vegetable Samosa,1,4.95,3
1375,2015-01-10 09:54:00,Tandoori Chicken (1/4),1,4.95,3
1385,2015-01-10 15:19:00,Tandoori Fish,1,5.95,7
1385,2015-01-10 15:19:00,Sheek Kehab,2,5.95,7
1376,2015-01-10 10:02:00,Tandoori Fish,1,5.95,3
1375,2015-01-10 09:54:00,Tandoori Fish,1,5.95,3
1385,2015-01-10 15:19:00,Vegetable Karahi,1,8.95,7
1385,2015-01-10 15:19:00,Vegetable Balti,1,9.95,7
1376,2015-01-10 10:02:00,Chicken Sylhet,1,9.95,3
1397,2015-02-10 14:38:00,Spicy Papadum,1,0.8,5
1403,2015-02-10 17:29:00,Paratha,1,2.95,9
1403,2015-02-10 17:29:00,Coke 1.5 ltr,1,2.95,9
1403,2015-02-10 17:29:00,Lemon Rice,1,3.95,9
1402,2015-02-10 16:39:00,Onion Bhaji,1,3.95,6
1397,2015-02-10 14:38:00,Onion Bhaji,1,3.95,5
1397,2015-02-10 14:38:00,COBRA (330ML),1,3.95,5
1390,2015-02-10 14:05:00,Onion Bhaji,2,3.95,4
1389,2015-02-10 10:29:00,Onion Bhaji,1,3.95,2
1403,2015-02-10 17:29:00,Vegetable Samosa,1,4.95,9
1403,2015-02-10 17:29:00,Tandoori Chicken (1/4),1,4.95,9
1390,2015-02-10 14:05:00,Vegetable Samosa,1,4.95,4
1403,2015-02-10 17:29:00,COBRA (660ML),1,5.95,9
1402,2015-02-10 16:39:00,Chicken Pakora,1,5.95,6
1402,2015-02-10 16:39:00,Cauliflower Bhajee,1,5.95,6
1402,2015-02-10 16:39:00,Tandoori Chicken,1,8.95,6
1397,2015-02-10 14:38:00,Lamb Persian,1,10.95,5
1390,2015-02-10 14:05:00,Kurma,1,12.95,4
1403,2015-02-10 17:29:00,House Red wine 75cl,1,17.95,9
651,2015-08-09 17:56:00,Onion Bhaji,1,3.95,4
648,2015-08-09 17:31:00,Onion Bhaji,1,3.95,1
647,2015-08-09 17:12:00,Onion Bhaji,1,3.95,3
894,2015-09-09 15:52:00,Onion Bhaji,1,3.95,4
874,2015-09-09 14:41:00,Onion Bhaji,1,3.95,3
857,2015-09-09 12:48:00,Onion Bhaji,1,3.95,4
840,2015-09-09 11:35:00,Onion Bhaji,1,3.95,3
838,2015-09-09 11:28:00,Onion Bhaji,1,3.95,4
764,2015-09-09 09:31:00,Onion Bhaji,1,3.95,3
1223,2015-09-30 16:52:00,Onion Bhaji,2,3.95,3
1221,2015-09-30 15:38:00,Onion Bhaji,1,3.95,6
1212,2015-09-29 15:20:00,Chicken Tikka,3,3.95,3
1222,2015-09-30 15:50:00,Vegetable Samosa,1,4.95,1
1221,2015-09-30 15:38:00,Vegetable Samosa,4,4.95,6
1221,2015-09-30 15:38:00,Tandoori Chicken (1/4),1,4.95,6
1221,2015-09-30 15:38:00,Prawn Puree,1,4.95,6
1220,2015-09-30 10:36:00,Vegetable Samosa,1,4.95,3
1220,2015-09-30 10:36:00,Tandoori Chicken (1/4),1,4.95,3
1219,2015-09-29 16:16:00,Vegetable Samosa,1,4.95,1
1216,2015-09-29 15:36:00,Vegetable Samosa,2,4.95,2
1212,2015-09-29 15:20:00,Tandoori Chicken (1/4),1,4.95,3
1223,2015-09-30 16:52:00,Tandoori Fish,1,5.95,3
1223,2015-09-30 16:52:00,Royal Paneer,1,5.95,3
1221,2015-09-30 15:38:00,Tandoori Fish,4,5.95,6
1221,2015-09-30 15:38:00,Royal Paneer,1,5.95,6
1220,2015-09-30 10:36:00,Tandoori Fish,1,5.95,3
1216,2015-09-29 15:36:00,Tandoori Fish,1,5.95,2
1212,2015-09-29 15:20:00,Chicken Tikka,1,7.95,3
3298,2016-01-10 21:49:00,Mint Sauce,1,0.5,7
3292,2016-01-10 19:23:00,Mango Chutney,1,0.5,7
3292,2016-01-10 19:23:00,Onion Chutney,1,0.5,7
3291,2016-01-10 19:21:00,Mango Chutney,1,0.5,3
3290,2016-01-10 19:21:00,Mint Sauce,2,0.5,8
3288,2016-01-10 18:59:00,Mango Chutney,2,0.5,15
3288,2016-01-10 18:59:00,Onion Chutney,1,0.5,15
3288,2016-01-10 18:59:00,Mint Sauce,1,0.5,15
3288,2016-01-10 18:59:00,Red Sauce,1,0.5,15
3287,2016-01-10 18:48:00,Red Sauce,1,0.5,8
3286,2016-01-10 18:28:00,Mango Chutney,2,0.5,8
3286,2016-01-10 18:28:00,Onion Chutney,2,0.5,8
3286,2016-01-10 18:28:00,Lime Pickle,2,0.5,8
3283,2016-01-10 17:53:00,Red Sauce,1,0.5,8
3283,2016-01-10 17:53:00,Onion Chutney,1,0.5,8
3282,2016-01-10 16:45:00,Mango Chutney,1,0.5,8
3282,2016-01-10 16:45:00,Onion Chutney,1,0.5,8
3061,2016-01-09 19:16:00,Mango Chutney,1,0.5,9
3061,2016-01-09 19:16:00,Onion Chutney,1,0.5,9
3061,2016-01-09 19:16:00,Lime Pickle,2,0.5,9
2612,2016-01-06 21:03:00,Red Sauce,1,0.5,5
2610,2016-01-06 17:10:00,Mango Chutney,1,0.5,8
2420,2016-01-05 21:25:00,Mango Chutney,1,0.5,8
2420,2016-01-05 21:25:00,Onion Chutney,1,0.5,8
2226,2016-01-04 21:59:00,Onion Chutney,1,0.5,11
2226,2016-01-04 21:59:00,Lime Pickle,1,0.5,11
2226,2016-01-04 21:59:00,Mint Sauce,1,0.5,11
2226,2016-01-04 21:59:00,Red Sauce,1,0.5,11
2224,2016-01-04 20:22:00,Mint Sauce,1,0.5,13
2224,2016-01-04 20:22:00,Lime Pickle,1,0.5,13
2221,2016-01-04 19:33:00,Lime Pickle,1,0.5,7
2221,2016-01-04 19:33:00,Onion Chutney,1,0.5,7
2218,2016-01-04 11:54:00,Onion Chutney,1,0.5,13
2218,2016-01-04 11:54:00,Lime Pickle,1,0.5,13
2218,2016-01-04 11:54:00,Mint Sauce,1,0.5,13
2218,2016-01-04 11:54:00,Red Sauce,1,0.5,13
3298,2016-01-10 21:49:00,Plain Papadum,2,0.8,7
3294,2016-01-10 19:59:00,Plain Papadum,1,0.8,6
3292,2016-01-10 19:23:00,Spicy Papadum,1,0.8,7
3292,2016-01-10 19:23:00,Plain Papadum,1,0.8,7
3290,2016-01-10 19:21:00,Plain Papadum,5,0.8,8
3288,2016-01-10 18:59:00,Plain Papadum,8,0.8,15
3287,2016-01-10 18:48:00,Plain Papadum,2,0.8,8
3286,2016-01-10 18:28:00,Plain Papadum,4,0.8,8
3284,2016-01-10 17:55:00,Plain Papadum,1,0.8,4
3283,2016-01-10 17:53:00,Plain Papadum,4,0.8,8
3282,2016-01-10 16:45:00,Plain Papadum,2,0.8,8
3281,2016-01-10 16:21:00,Spicy Papadum,3,0.8,5
3281,2016-01-10 16:21:00,Plain Papadum,3,0.8,5
3061,2016-01-09 19:16:00,Plain Papadum,4,0.8,9
2610,2016-01-06 17:10:00,Plain Papadum,1,0.8,8
2609,2016-01-06 16:56:00,Plain Papadum,1,0.8,7
2420,2016-01-05 21:25:00,Plain Papadum,2,0.8,8
2226,2016-01-04 21:59:00,Plain Papadum,2,0.8,11
2224,2016-01-04 20:22:00,Plain Papadum,3,0.8,13
2223,2016-01-04 19:59:00,Spicy Papadum,1,0.8,3
2221,2016-01-04 19:33:00,Plain Papadum,3,0.8,7
2219,2016-01-04 18:35:00,Plain Papadum,1,0.8,5
2218,2016-01-04 11:54:00,Plain Papadum,6,0.8,13
3288,2016-01-10 18:59:00,Chapati,2,1.95,15
2612,2016-01-06 21:03:00,Chapati,1,1.95,5
2219,2016-01-04 18:35:00,Chapati,2,1.95,5
2217,2016-01-04 11:31:00,Chapati,4,1.95,3
3293,2016-01-10 19:40:00,Plain Naan,1,2.6,7
